Nombre del Proyecto,Categoría,Meta Financiera,Dinero Recaudado,Duración (días),Número de Patrocinadores,Éxito
Revolución Solar,Música,53251,94209,18,2501,1
Música Sin Fronteras,Cine,23662,854,47,2670,0
Juego de Mesa Épico,Juegos,9392,90084,28,3134,1
Cine Independiente,Cine,31535,38623,35,3061,1
Innovación en Educación,Cine,79603,7392,34,14,0
Tecnología Verde,Arte,53256,55680,22,4879,1
Arte Urbano Moderno,Juegos,90135,46717,21,886,0
Aplicación para Salud,Juegos,36222,87092,17,1001,1
Gastronomía Creativa,Juegos,78373,50859,31,4152,0
Documental Ambiental,Cine,80575,26309,47,4374,0
Juego de Realidad Virtual,Música,97354,87455,26,4475,0
Plataforma Educativa,Juegos,85651,63734,36,645,0
Moda Sostenible,Cine,64335,70467,36,1703,1
Película de Ciencia Ficción,Arte,11965,52662,44,1692,1
Diseño de Interiores,Música,25538,98506,52,4762,1
Robótica para Niños,Arte,71592,12688,52,129,0
Concierto Benéfico,Música,99018,25342,59,840,0
App para Viajeros,Cine,9110,37157,22,3685,1
Café de Especialidad,Tecnología,80309,67863,41,1379,0
Proyecto de Energía Limpia,Música,28266,52083,41,750,1
Libro Infantil Ilustrado,Arte,53992,65733,48,126,1
Revista Digital,Cine,83948,89045,35,2848,1
Software de Gestión,Música,99806,34698,44,1160,0
Conservación de la Naturaleza,Tecnología,7910,80623,47,1941,1
Documental Histórico,Tecnología,91982,22671,42,1022,0
Videoclip Musical,Juegos,1206,25184,47,1674,1
Iniciativa de Economía Circular,Juegos,88054,93384,19,1091,1
Escuela de Arte,Arte,88897,42107,33,4739,0
Jardines Verticales,Música,24419,86202,18,522,1
Concierto en Vivo,Música,51636,51663,49,2859,1
Centro Comunitario,Juegos,51015,15708,31,569,0
Plataforma de Voluntariado,Música,55268,91906,58,3682,1
Aplicación de Fitness,Música,88939,49811,42,4593,0
Taller de Escritura Creativa,Tecnología,19141,2811,44,3353,0
Vehículo Eléctrico,Juegos,81356,56250,43,4080,0
Proyecto de Permacultura,Cine,72910,72082,20,4809,0
Serie Web,Juegos,57044,34754,49,1480,0
Espacio de Coworking,Cine,68214,95742,55,590,1
Exposición de Fotografía,Tecnología,34827,11411,51,2304,0
Terapias Alternativas,Arte,56820,2911,38,3157,0
Desarrollo de Videojuego,Música,63623,67270,43,4259,1
Iniciativa de Reciclaje,Tecnología,82734,83763,45,1689,1
Museo Interactivo,Música,76450,8680,49,3516,0
Comunidad de Lectores,Arte,94426,84896,47,2754,0
Película de Animación,Arte,23299,83879,35,3366,1
Restaurante Vegano,Tecnología,44585,71295,46,4055,1
Festival de Cine,Arte,65044,88614,37,1253,1
Biblioteca Pública,Cine,43557,11111,47,3128,0
Turismo Responsable,Arte,50080,37504,17,2151,0
Evento de E-Sports,Música,3693,1802,32,3069,0
Escuela de Cocina,Música,96003,8155,39,4558,0
Plataforma de Comercio Justo,Música,96259,73656,56,2969,0
Festival de Música,Música,70163,39384,45,2275,0
Clínica Móvil,Cine,26939,47254,17,2489,1
Centro de Innovación,Juegos,49925,21918,54,4656,0
Proyecto de Realidad Aumentada,Tecnología,43941,85981,38,1645,1
Guía de Viajes,Música,22834,60713,46,1767,1
Diseño de Moda,Arte,19047,30306,36,4462,1
Obra de Teatro,Música,27105,16646,37,2080,0
Aplicación de Meditación,Arte,76766,46843,16,2859,0
Hogar Inteligente,Arte,16707,96601,41,3261,1
Desarrollo Sostenible,Música,22976,90735,56,3740,1
Conferencia de Tecnología,Cine,45262,16371,16,2499,0
Espacio Cultural,Arte,24776,77371,40,1641,1
Producción de Música Electrónica,Arte,31080,2049,31,2826,0
Iniciativa contra el Cambio Climático,Música,67842,31616,54,1025,0
Aplicación de Idiomas,Arte,62373,20932,47,1358,0
Proyecto de Reforestación,Arte,7776,29855,23,4621,1
Feria de Ciencia,Música,93787,61434,57,3097,0
Clínica Veterinaria,Música,56016,72694,53,2849,1
Programa de Inclusión Social,Tecnología,10474,43016,43,345,1
App de Emprendimiento,Cine,59053,7400,56,4602,0
Galería de Arte Contemporáneo,Cine,22959,42642,40,905,1
Concierto de Música Clásica,Arte,6530,15151,49,3556,1
Investigación Científica,Cine,95856,51407,39,861,0
Evento Gastronómico,Arte,4748,66690,38,1697,1
Conservatorio de Música,Tecnología,98504,4499,27,1941,0
Innovación en Transporte,Música,99098,6295,21,3756,0
Centro de Yoga,Música,14545,59040,50,2437,1
Taller de Artesanía,Música,67199,12183,59,1578,0
Obra de Arte Público,Cine,35766,29299,34,4010,0
Tecnología para la Agricultura,Tecnología,74530,12874,15,2748,0
Producción de Teatro,Cine,94557,32711,22,3508,0
Evento de Danza,Cine,62087,5539,30,3923,0
Aplicación para Niños,Tecnología,96839,53351,28,1076,0
Restaurante Orgánico,Tecnología,69840,61267,26,4390,0
Iniciativa de Biodiversidad,Tecnología,55384,48354,37,2454,0
Concurso de Talento,Tecnología,52005,2557,29,4117,0
Plataforma de Streaming,Música,47576,38360,42,3383,0
Libro de Cocina,Juegos,40353,82018,48,3979,1
Producción Cinematográfica,Juegos,63003,2200,16,2556,0
Iniciativa de Bienestar Animal,Tecnología,84211,68497,46,763,0
Documental Social,Juegos,53733,46975,37,2092,0
Feria de Artes,Juegos,66318,21357,36,2784,0
Festival de Teatro,Tecnología,90474,77505,39,2906,0
Diseño Gráfico,Juegos,24664,2869,36,4195,0
Comunidad Tecnológica,Cine,68172,61135,36,785,0
Laboratorio de Innovación,Arte,86616,50108,56,1635,0
Festival de Jazz,Arte,94264,94179,20,3079,0
